,aluminum_production_1,camo,desertinfantry_at,etax_doctrine,jaegers,jngdst_clothes_gw,r56_guerilla_warfare,r56_gw_railway_gun,r56_militia_tech,r56_railway_mortar_subtech,shocktroops,sniper_rifle,steel_production_1,transport_plane1,winter_clothes_gw,jungletroops
AFG,,,,1,,,,,1,,,1,,,,
ALB,,1,,1,,,,,,,,,,1,,
ALG,,1,1,1,,1,,,,,,,,1,,
ANG,,1,,1,,,,,,,,,,,,
ARG,,1,,1,,,,,,,,,,1,,
ARM,,1,,1,,,,,,,,,,1,,
AST,,1,,1,,,,,,,,,1,1,,
AUS,1,1,,1,1,,,,,,,,1,1,1,
AZR,,1,,1,,,,,,,,,,1,,
BAH,,1,,1,,,,,,,,,,,,
BAS,,1,,1,,,,,,,,,,1,,
BAY,,1,,1,,,,,,,,1,1,1,,
BEL,,1,,1,1,,,,,,,,1,1,1,
BHU,,1,,1,,,,,,,,,,,,
BOL,,1,,1,,,,,,,,,,1,,
BOS,,1,,1,,,,,,,,,,1,,
BOT,,1,,1,,,,,,,,,,,,
BRA,,1,,1,,1,,,,,,,,1,,1
BRD,,1,,1,,,,,,,,,,,,
BRI,,1,,1,,,,,,,,,,1,,
BRM,,1,,1,,,,,,,,,,,,
BUK,,1,,1,,,,,,,,,,,,
BUL,,1,,1,,,,,,,,,,1,,
CAM,,1,,1,,,,,,,,,,,,
CAN,1,1,,1,,,,,,,,,1,1,,
CAR,,1,,1,,,,,,,,,,,,
CAT,,1,,1,,,,,,,,,,1,,
CHA,,1,,1,,,,,,,,,,,,
CHI,,1,,1,,,,,1,,,,,1,,
CHL,,1,,1,,,,,,,,,1,1,,
CMR,,1,,1,,,,,,,,,,,,
COG,,1,,1,,,,,,,,,,1,,
COL,,1,,1,,,,,,,,,,1,,
COS,,1,,1,,,,,,,,,,1,,
CRO,,1,,1,,,,,,,,,,1,,
CSA,,1,,1,,,,,,,,,,1,,
CUB,,1,,1,,,,,,,,,,1,,
